Rodovia;Sentido;Tipo;Km Inicial;Km Final;Comprimento (m);Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final
MS-040;;DP - CONCRETO;209+600;209+600;;21134130S;;52572144W;
MS-040;Oeste;Meio-Fio;209+760;209+571;189;-21,22847497;-52,95495253;-21,22782748;-52,95662582
MS-040;Oeste;Meio-Fio;210+018;209+969;;-21,22998245;-52,95307262;-21,22964297;-52,95340557
MS-040;Oeste;Meio-Fio;210+786;210+612;174;-21,23515284;-52,94816422;-21,23399089;-52,94926883
MS-040;Leste;Meio-Fio;211+180;211+539;359;-21,23798793;-52,94549463;-21,24040651;-52,9432008
MS-040;;DP - CONCRETO;211+371;211+371;;21142241S;;52563896W;
MS-040;Oeste;Meio-Fio;211+565;211+206;359;-21,24040919;-52,94317220;-21,23798729;-52,94547132
MS-040;Leste;Meio-Fio;211+584;211+659;75;-21,24070386;-52,94291893;-21,24121613;-52,94243117
MS-040;Leste;Meio-Fio;211+896;211+963;67;-21,24281617;-52,94092051;-21,24328410;-52,94047672
MS-040;Leste;Meio-Fio;211+981;212+095;114;-21,24339570;-52,94036962;-21,24416932;-52,93963082
MS-040;;DP - CONCRETO;212+043;212+043;;21143878S;;52562357W;
MS-040;Oeste;Meio-Fio;212+122;211+922;200;-21,24417425;-52,93959695;-21,24283321;-52,94087175
MS-040;Leste;Meio-Fio;212+138;212+317;179;-21,24445039;-52,93936564;-21,24565057;-52,93822430
MS-040;Leste;Meio-Fio;212+459;213+437;978;-21,24662488;-52,93729888;-21,25162332;-52,92960247
MS-040;;DP - CONCRETO;212+530;212+530;;21145003S;;52561157W;
MS-040;Oeste;Meio-Fio;212+679;212+523;156;-21,24786456;-52,93595509;-21,24687453;-52,93702217
MS-040;;DP - CONCRETO;213+213;213+213;;2115335S;;52555297W;
MS-040;Leste;Meio-Fio;213+618;214+014;396;-21,25233990;-52,92803813;-21,25392405;-52,92458008
MS-040;;DP - CONCRETO;213+618;213+618;;2115902S;;52554019W;
MS-040;Oeste;Meio-Fio;214+039;213+003;1036;-21,25389353;-52,92457356;-21,24966438;-52,93347781
MS-040;Leste;Meio-Fio;214+575;215+194;619;-21,25614466;-52,91973456;-21,25860125;-52,91436735
MS-040;Oeste;Meio-Fio;215+202;215+105;97;-21,25850510;-52,91450838;-21,25811957;-52,91535220
MS-040;Oeste;Meio-Fio;215+600;215+219;381;-21,26007812;-52,91107918;-21,25856366;-52,91437907
MS-040;Leste;Meio-Fio;216+253;217+048;795;-21,26280505;-52,90518550;-21,26596554;-52,89828018
MS-040;Oeste;Meio-Fio;217+081;216+602;479;-21,26594849;-52,89826491;-21,26405263;-52,90240136
MS-040;Oeste;Meio-Fio;217+197;217+166;31;-21,26641020;-52,89724919;-21,26628460;-52,89752575
MS-040;Oeste;Meio-Fio;217+267;217+229;38;-21,26668880;-52,89663954;-21,26653687;-52,89697144
MS-040;Leste;Meio-Fio;217+374;218+606;1232;-21,26725994;-52,89544944;-21,26991371;-52,88403035
MS-040;;DP - CONCRETO;217+582;217+582;;2116528S;;52533662W;
MS-040;Oeste;Meio-Fio;217+839;217+409;430;-21,26885462;-52,89164353;-21,26724939;-52,89541712
MS-040;;DP - CONCRETO;218+101;218+101;;21161040S;;52531944W;
MS-040;Oeste;Meio-Fio;218+642;218+045;597;-21,26988647;-52,88401315;-21,26933012;-52,88972814
MS-040;Leste;Meio-Fio;219+845;220+631;786;-21,27518639;-52,87405134;-21,28034645;-52,86881630
MS-040;;DP - CONCRETO;220+031;220+031;;21163533S;;52522186W;
MS-040;Oeste;Meio-Fio;220+242;219+948;294;-21,27752271;-52,87165328;-21,27559603;-52,87360490
MS-040;Leste;Meio-Fio;220+732;221+318;586;-21,28100863;-52,86814334;-21,28484635;-52,86424036
MS-040;Oeste;Meio-Fio;221+363;220+898;465;-21,28484987;-52,86420876;-21,28180468;-52,86730221
MS-040;Leste;Meio-Fio;221+643;221+785;142;-21,28698340;-52,86206419;-21,28790555;-52,86112588
MS-040;;DP - CONCRETO;221+739;221+739;;21171556S;;52514104W;
MS-040;Oeste;Meio-Fio;221+834;221+735;99;-21,28792819;-52,86107772;-21,28729138;-52,86172521
MS-040;Leste;Meio-Fio;222+032;222+174;142;-21,28956106;-52,85953923;-21,29034501;-52,85879879
MS-040;Oeste;Meio-Fio;222+272;222+199;73;-21,29088584;-52,85826188;-21,29037638;-52,85874347
MS-040;Leste;Meio-Fio;222+534;222+745;221;-21,29295897;-52,85632614;-21,29436339;-52,85491674
MS-040;;DP - CONCRETO;222+736;222+736;;21173960S;;52511788W;
MS-040;Oeste;Meio-Fio;222+761;222+636;125;-21,29414803;-52,85513069;-21,29333559;-52,85594056
MS-040;Leste;Meio-Fio;222+960;223+101;141;-21,29539130;-52,85318926;-21,29583926;-53,85190204
MS-040;Leste;Meio-Fio;223+133;223+355;222;-21,29593666;-52,85160325;-21,29659427;-52,84959503
MS-040;Oeste;Meio-Fio;223+143;223+007;136;-21,29580448;-52,85192880;-21,29537009;-52,85316298
MS-040;Leste;Meio-Fio;223+398;223+504;106;-21,29672583;-52,84919779;-21,29704341;-52,84822454
MS-040;Oeste;Meio-Fio;223+403;223+179;224;-21,29658082;-52,84956472;-21,29591444;-52,85159600
MS-040;Oeste;Meio-Fio;223+554;223+447;107;-21,29703702;-52,84817775;-21,29671316;-52,84916464
MS-040;Leste;Meio-Fio;224+237;224+351;114;-21,29844000;-52,84136802;-21,29899427;-52,84050340
MS-040;Leste;Meio-Fio;224+367;224+383;16;-21,29908212;-52,84038710;-21,29913984;-52,84024716
MS-040;Leste;Meio-Fio;224+451;224+482;31;-21,29920076;-52,83961286;-21,29930357;-52,83932757
MS-040;Leste;Meio-Fio;224+503;224+549;46;-21,29936940;-52,83914175;-21,29952957;-52,83872488
MS-040;Leste;Meio-Fio;224+570;224+652;82;-21,29959758;-52,83854690;-21,29988211;-52,83780438
MS-040;Oeste;Meio-Fio;224+613;224+260;353;-21,29856611;-52,83832527;-21,29839740;-52,84158706
MS-040;Leste;Meio-Fio;224+673;224+767;94;-21,29995228;-52,83762147;-21,30026665;-52,83678447
MS-040;Oeste;Meio-Fio;224+727;224+629;98;-21,29895001;-52,83730463;-21,29861775;-52,83818574
MS-040;Leste;Meio-Fio;224+793;224+886;93;-21,30035482;-52,83654824;-21,30066647;-52,83570654
MS-040;Oeste;Meio-Fio;224+838;224+743;95;-21,29932274;-52.83631019;-21,29900252;-52,83716208
MS-040;Leste;Meio-Fio;224+917;224+995;;-21,30076682;-52,83543917;-21,30103416;-52,83474541
MS-040;Oeste;Meio-Fio;224+953;224+859;94;-21,29970750;-52,83528424;-21,29939489;-52,83611981
MS-040;Leste;Meio-Fio;225+010;225+114;104;-21,30108467;-52,83460685;-21,30143578;-52,83367370
MS-040;Oeste;Meio-Fio;225+068;224+974;94;-21,30009859;-52,83425305;-21,29977554;-52,83510316
MS-040;Leste;Meio-Fio;225+130;225+229;99;-21,30148947;-52,83353019;-21,30182214;-52,83263332
MS-040;Oeste;Meio-Fio;225+182;225+104;78;-21,30047590;-52,83324222;-21,30021577;-52,83393762
MS-040;Leste;Meio-Fio;225+250;225+339;89;-21,30188946;-52,83245352;-21,30218963;-52,83165395
MS-040;Oeste;Meio-Fio;225+303;225+192;111;-21,30087781;-52,83215819;-21,30051109;-52,83314869
MS-040;Leste;Meio-Fio;225+360;225+433;73;-21,30226310;-52,83145926;-21,30250422;-52,83080973
MS-040;Oeste;Meio-Fio;225+412;225+313;99;-21,30124996;-52,83118233;-21,30091630;-52,83207063
MS-040;Leste;Meio-Fio;225+481;225+554;73;-21,30267063;-52,83037742;-21,30291906;-52,82972587
MS-040;Oeste;Meio-Fio;225+528;225+423;105;-21,30164018;-52,83014395;-21,30128802;-52,83108287
MS-040;Oeste;Meio-Fio;225+590;225+543;47;-21,30185106;-52,82958668;-21,30169237;-52,83000689
MS-040;Leste;Meio-Fio;225+596;225+695;99;-21,30305155;-52,82935187;-21,30338499;-52,82846692
MS-040;Oeste;Meio-Fio;225+652;225+606;46;-21,30205730;-52,82903741;-21,30190035;-52,82945572
MS-040;Leste;Meio-Fio;225+706;225+810;104;-21,30342126;-52,82837042;-21,30377272;-52,82743638
MS-040;Oeste;Meio-Fio;225+766;225+663;103;-21,30243743;-52,82801295;-21,30209234;-52,82894321
MS-040;Leste;Meio-Fio;225+836;225+919;83;-21,30385939;-52,82720882;-21,30413806;-52,82645922
