Rodovia;Sentido;Tipo;Km Inicial;Km Final;Comprimento (m);Latitude Inicial;Longitude Inicial;Latitude Final;Longitude Final
BR-262;Oeste;Meio-Fio;259+275;259+592;317;-20.40690839;-53.93048223;-20.40800003;-53.93328621
BR-262;;DP - CONCRETO;259+332;259+332;;20242788S;;53555693W;
BR-262;Oeste;Meio-Fio;260+405;261+155;750;-20.41312548;-53.93870711;-20.41805117;-53.94356569
BR-262;Oeste;Meio-Fio;261+586;262+134;548;-20.42016012;-53.94703368;-20.42270615;-53.95153361
BR-262;Oeste;Meio-Fio;262+325;263+070;745;-20.42317878;-53.95330056;-20.42490656;-53.96023091
BR-262;Oeste;Meio-Fio;263+382;263+973;591;-20.42561901;-53.9631319;-20.427012;-53.96860519
BR-262;Oeste;Meio-Fio;264+198;264+337;139;-20.42754944;-53.97067595;-20.42788579;-53.97195808
BR-262;Oeste;Meio-Fio;264+906;266+800;1894;-20.42943781;-53.97715938;-20.43683602;-53.99353335
BR-262;Oeste;Meio-Fio;266+995;267+395;400;-20.43749131;-53.99526464;-20.43878755;-53.99885197
BR-262;Oeste;Meio-Fio;267+576;269+037;1461;-20.4393693;-54.00045808;-20.44412419;-54.01355567
BR-262;Oeste;Meio-Fio;269+292;270+170;878;-20.4452794;-54.01563571;-20.45165446;-53.02061944
BR-262;Oeste;Meio-Fio;270+204;271+763;1559;-20.45190972;-54.02080512;-20.46040985;-53.03182356
BR-262;Oeste;Meio-Fio;272+547;273+071;524;-20.46182592;-53.03919191;-20.46274337;-53.04413701
BR-262;Oeste;Meio-Fio;272+961;273+637;676;-20.4625431;-54.04032443;-20.46377644;-54.04933457
BR-262;Oeste;Meio-Fio;273+713;273+791;78;-20.46391786;-54.05006163;-20.46405644;-54.05078315
BR-262;Oeste;Meio-Fio;274+505;274+908;403;-20.46533958;-54.05749664;-20.46606603;
BR-262;;DP - CONCRETO;275+052;275+052;;20275978S;;54 35077W;
BR-262;Oeste;Meio-Fio;275+166;275+796;630;-20.46653163;-54.06369188;-20.46766091;-53.06960206
BR-262;Oeste;Meio-Fio;275+802;276+029;227;-20.46767254;-54.06966279;-20.46807667;-53.07177384
BR-262;Oeste;Meio-Fio;279+451;280+098;647;-20.47420805;-54.10390294;-20.47536812;-53.10995868
BR-262;Oeste;Meio-Fio;280+712;283+198;2486;-20.4764655;-54.11572932;-20.48090961;-53.13904411
BR-262;Oeste;Meio-Fio;283+738;284+644;906;-20.48188571;-54.1441062;-20.48351354;-53.15259975
BR-262;Oeste;Meio-Fio;287+295;287+828;533;-20.48823099;-54.17748854;-20.48922371;-53.18248109
BR-262;Oeste;Meio-Fio;287+876;288+690;814;-20.48930569;-54.18293321;-20.49061977;-53.19060563
BR-262;Oeste;Meio-Fio;289+961;290+086;125;-20.49360309;-54.20228034;-20.49394503;-54.20340661
BR-262;Oeste;Meio-Fio;291+718;292+502;784;-20.4968835;-54.21874782;-20.49829743;-54.22611249
BR-262;;DP - CONCRETO;292+336;292+336;;20295521S;;54133333W;
BR-262;Oeste;Meio-Fio;294+146;294+434;288;-20.50125916;-54.24154861;-20.50178024;-53.24425273
BR-262;Oeste;Meio-Fio;294+788;294+920;132;-20.50241829;-54.24757518;-20.50265181;-54.24880866
BR-262;Oeste;Meio-Fio;294+959;295+144;185;-20.50272199;-54.24918015;-20.50305025;-54.25090428
BR-262;Oeste;Meio-Fio;295+451;295+651;200;-20.50360259;-54.25378606;-20.50396578;-53.25597321
BR-262;Oeste;Meio-Fio;297+705;297+990;285;-20.50765311;-54.27494613;-20.50778084;-54.27767771
BR-262;Oeste;Meio-Fio;298+008;298+220;212;-20.50775347;-54.27784041;-20.50712589;-54.27973742
BR-262;Oeste;Meio-Fio;299+548;299+665;117;-20.50134528;-54.29090223;-20.50084018;-54.29188681
BR-262;Oeste;Meio-Fio;299+843;300+920;1077;-20.50006806;-54.29337865;-20.4954011;-54.30241752
BR-262;Oeste;Meio-Fio;301+614;301+751;137;-20.49450388;-54.30878396;-20.49474854;-54.31005194
BR-262;Oeste;Meio-Fio;301+789;303+778;1989;-20.49482081;-54.31042155;-20.49243092;-54.32813005
BR-262;Oeste;Meio-Fio;303+835;304+226;391;-20.49204449;-54.32847339;-20.48933151;-54.33086944
BR-262;Oeste;Meio-Fio;304+318;304+679;361;-20.48869098;-54.33143563;-20.48618147;-54.33365481
BR-262;Oeste;Meio-Fio;304+773;306+603;1830;-20.48553912;-54;-20.4792217;-54.34929196
BR-262;Oeste;Meio-Fio;307+488;307+848;360;-20.48280022;-54.35771344;-20.47778745;-54.36112404
BR-262;Oeste;Meio-Fio;307+859;308+405;546;-20.47777582;-54.36122117;-20.47716351;-54.3664211
BR-262;Oeste;Meio-Fio;308+416;308+918;502;-20.47712387;-54.36652253;-20.47654465;-54.37129416
BR-262;Oeste;Meio-Fio;308+929;309+942;1013;-20.47653192;-54.37139749;-20.4753534;-54.38099462
BR-262;Oeste;Meio-Fio;309+996;310+441;445;-20.47528955;-54.38151648;-20.47477002;-54.38574432
BR-262;Oeste;Meio-Fio;310+601;310+736;135;-20.47458786;-54.38725589;-20.47443486;-54.38853524
BR-262;Oeste;Meio-Fio;310+763;310+827;64;-20.47440135;-54.38880127;-20.47432744;-54.38940702
BR-262;Oeste;Meio-Fio;310+838;311+155;317;-20.4743134;-54.3895219;-20.47394555;-54.39253947
BR-262;Oeste;Meio-Fio;311+172;311+926;754;-20.47392656;-54.39269738;-20.47306638;-54.39983425
BR-262;Oeste;Meio-Fio;312+396;312+698;302;-20.47287592;-54.4043304;-20.47276998;-54.40721473
BR-262;Oeste;Meio-Fio;313+210;313+510;300;-20.47258816;-54.41211386;-20.47247491;-54.41498743
BR-262;Oeste;Meio-Fio;315+812;315+843;31;-20.47163344;-54.43701888;-20.47162282;-54.43731529
BR-262;Oeste;Meio-Fio;315+864;316+105;241;-20.47161643;-54.43751863;-20.47152436;-54.43982955
BR-262;Oeste;Meio-Fio;317+470;317+652;182;-20.47102294;-54.45287618;-20.47095215;-54.45462302
BR-262;Oeste;Meio-Fio;318+614;319+080;466;-20.47060435;-54.46381673;-20.47043108;-54.46828807
BR-262;Oeste;Meio-Fio;319+101;319+256;155;-20.47042359;-54.46848118;-20.47036455;-54.469992
BR-262;Oeste;Meio-Fio;320+363;321+531;1168;-20.4699587;-54.48057872;-20.46952234;-54.49174073
BR-262;Oeste;Meio-Fio;322+026;323+414;1388;-20.46933484;-54.49647952;-20.46881961;-54.50992706
BR-262;Oeste;Meio-Fio;324+010;324+697;687;-20.46859904;-54.51562528;-20.4683113;-54.52218791
BR-262;Oeste;Meio-Fio;328+157;328+257;100;-20.4640406;-54.55454471;-20.46382536;-54.55547219
BR-267;Oeste;Meio-Fio;;11+884;244;-21,72531146;-52,25000138;-21,72531228;-52,2523629
BR-267;Oeste;Meio-Fio;;54+955;182;-21,83020508;-52,62379050;-21,83054768;-52,62549566
BR-267;Oeste;Meio-Fio;;229+708;205;-21,53185394;-54,21572567;-21,53074658;-54,21732072
BR-267;Leste;Meio-Fio;0+000;30+449;5;-21,72000669;-52,42583270;-21,72114751;-52,43091890
BR-267;Oeste;Meio-Fio;2+651;3+164;513;-21,76203791;-52,17326562;-21,75894442;-52,1769544
BR-267;Leste;Meio-Fio;3+030;3+169;139;-21,75976633;-52,17600721;-21,75892305;-52,17701247
BR-267;Oeste;Meio-Fio;3+391;3+747;356;-21,75758271;-52,17857555;-21,75544112;-52,18114742
BR-267;Oeste;Meio-Fio;11+376;11+634;258;-21,72545556;-52,24745009;-21,72531126;-52,24995319
BR-267;Oeste;Meio-Fio;11+900;11+974;74;-21,72531474;-52,25251959;-21,72531800;-52,25326062
BR-267;Oeste;Meio-Fio;11+974;12+126;152;-21,72531800;-52,25326062;;
BR-267;Leste;Meio-Fio;12+038;12+149;111;-21,72533050;-52,25389802;-21,72533332;-52,25497626
BR-267;Oeste;Meio-Fio;12+131;12+500;369;-21,72531945;-52,25474038;-21,72521873;-52,25829431
BR-267;Leste;Meio-Fio;12+252;12+386;134;-21,72534417;-52,25596998;-21,72549211;
BR-267;Oeste;Meio-Fio;12+268;12+399;131;-2172529650;-52,25606794;-21,72514807;-52,25733995
BR-267;Oeste;Meio-Fio;12+431;12+837;;-21,72514621;-52,25763695;-21,72515491;-52,26155791
BR-267;Oeste;Meio-Fio;12+511;12+570;59;-21,72522989;-52,25840042;-21,72527164;-52,25897510
BR-267;Oeste;Meio-Fio;12+586;12+633;47;-21,72527818;-52,25914513;-21,72528070;-52,25958590
BR-267;Oeste;Meio-Fio;12+644;13+664;1020;-21,72527908;-52,25969523;-21,72531631;-52,26956353
BR-267;;DP - CONCRETO;12+708;12+708;;21433133S;;52153976W;
BR-267;Oeste;Meio-Fio;12+860;14+071;1211;-21,72516979;-52,26178949;-21,72516615;-52,27350074
BR-267;Oeste;Meio-Fio;13+680;13+949;269;-21,72531629;-52,26971871;-21,72526496;-52,27230128
BR-267;Oeste;Meio-Fio;13+970;14+007;37;-21,72523765;-52,27251705;-21,72520346;-52,27285408
BR-267;Oeste;Meio-Fio;14+023;14+045;22;-21,7251899;-52,27301899;-21,72517726;-52,27322145
BR-267;Oeste;Meio-Fio;14+050;14+560;510;-21,72517427;-52,27327776;-21,72535324;-52,278198050
BR-267;Oeste;Meio-Fio;14+093;14+259;166;-21,72516560;-52,27369504;-21,72533344;-52,27531499
BR-267;;DP - CONCRETO;14+852;14+852;;21433163S;;52165435W;
BR-267;Oeste;Meio-Fio;16+141;16+168;27;-21,72571479;-52,29350709;-21,72571904;-52,29373840
BR-267;Oeste;Descida d'água;16+414;;;-21,72577557;-52,29610570;;
BR-267;Oeste;Meio-Fio;18+034;18+086;52;-21,72614978;-52,31179334;-21,72614098;-52,31229270
BR-267;Oeste;Meio-Fio;18+106;18+172;;-21,72600000;-52,31248967;-21,72613141;-52,31312664
BR-267;Leste;Meio-Fio;18+107;18+170;;-21,72622632;-52,31250103;-21,72624713;-52,31310233
BR-267;Oeste;Meio-Fio;18+182;18+192;;-21,72613345;-52,31322548;-21,72613471;-52,31332501
BR-267;Oeste;Meio-Fio;18+203;18+213;10;-21,72613741;-52,31342212;-21,72614044;-52,31352086
BR-267;Oeste;Meio-Fio;18+223;18+290;67;-21,72614330;-52,31361585;-21,72616672;-52,31426499
BR-267;Oeste;Meio-Fio;18+831;18+978;147;-27,72633393;-52,31947276;-21,72636660;-52,32090249
BR-267;Oeste;Meio-Fio;19+489;19+594;105;-21,72648117;-52,72648117;-21,72650635;-52,72650635
BR-267;Leste;Meio-Fio;21+147;21+336;189;-21,72687644;-52,34189010;-21,72692106;-52,34370626
BR-267;Oeste;Meio-Fio;21+161;21+276;115;-21,72685833;-52,34199086;-21,72688567;-52,34309772
BR-267;Oeste;Meio-Fio;21+308;21+360;52;-21,72689368;-52,34340884;;-52,72690735
BR-267;Oeste;Meio-Fio;21+780;21+822;122;-21,72700945;-52,34795685;-21,72701914;-52,34837000
BR-267;Oeste;Meio-Fio;21+998;22+040;42;-21,72706334;-52,35008942;-21,72707132;-52,35045837
BR-267;Oeste;Meio-Fio;23+360;23+533;173;-21,72727436;-52,36317534;-21,72708017;-52,36490095
BR-267;Oeste;Meio-Fio;23+936;24+901;965;-21,72658988;-52,36875032;-21,72540750;-52,37798185
BR-267;Oeste;Meio-Fio;26+522;26+561;;-21,72343213;-52,39351898;-21,7338559;-52,39387990
BR-267;;DP - CONCRETO;26+745;26+745;;21432306S;;52234710W;
BR-267;;DP - CONCRETO;26+770;26+770;;21432302S;;52234790W;
BR-267;Oeste;Meio-Fio;27+179;27+218;;-21,72263683;-52,39981245;-21,72259168;-52,40017038
BR-267;Oeste;Meio-Fio;27+282;27+470;188;-21,72251448;-52,40079058;-21,72228535;-52,40259690
BR-267;;DP - CONCRETO;27+370;27+370;;21432034S;;5224865W;
BR-267;Oeste;Meio-Fio;27+856;28+565;291;-21,72181192;-52,40629221;-21,72083882;-52,41305111
BR-267;Leste;Meio-Fio;27+873;28+577;704;-21,72184546;52,40634450;-21,72111865;-52,41309389
BR-267;Oeste;Meio-Fio;27+935;;396;-21,72171713;-52,40704464;-21,72087054;-52,41280150
BR-267;Oeste;Meio-Fio;28+576;28815+000;239;-21,72082710;-52,41315467;-21,72054143;-52,41544188
BR-267;Oeste;Meio-Fio;28+581;28+967;386;-21,72082076;-52,41320973;-21,72042718;-52,41691359
BR-267;Oeste;Meio-Fio;28+830;28+872;42;-21,72052019;-52,41560093;-21,72047002;-52,41598618
BR-267;Oeste;Meio-Fio;28+888;29518+000;630;-21,72045215;-52,41615099;-21,71972418;-52,42217421
BR-267;Oeste;Meio-Fio;28+993;29+175;182;-21,72042181;-52,41716310;-21,72022920;
BR-267;Oeste;Meio-Fio;29+175;29+665;;-21,72022920;-52,41891444;-21,71964877;-52,423605360
BR-267;Oeste;Meio-Fio;29+534;29+576;42;-21,71970338;-52,42232560;-21,71966891;-52,42274923
BR-267;Leste;Meio-Fio;29+543;29+591;;-21,71998143;-52,42234466;-21,71995233;-52,42280443
BR-267;Oeste;Meio-Fio;29+592;29+817;225;-21,71966301;-52,42289998;-21,71967087;-52,42505555
BR-267;Oeste;Meio-Fio;29+681;29+729;;-21,71964720;-52,42375858;-21,71964935;-52,42422084
BR-267;Oeste;Meio-Fio;29+740;29+915;175;-21,71965068;-52,42431467;-21,71976392;-52,42600841
BR-267;Oeste;Meio-Fio;29+833;29+888;55;-21,71967916;-52,42521455;-21,71972333;-52,42575382
BR-267;Oeste;Meio-Fio;29+899;30+450;551;-21,71973676;-52,42584964;-21,72091404;-52,43102375
BR-267;Oeste;Meio-Fio;29+943;;122;-21,71981767;-52,42627573;-21,72005640;-52,42741795
BR-267;Oeste;Meio-Fio;30+097;30+238;141;-21,72011457;-52,42772788;-21,72038438;-52,42905201
BR-267;Oeste;Meio-Fio;30+265;30+360;95;-21,72044232;-52,42930359;-21,72069596;-52,43018712
BR-267;Oeste;Meio-Fio;30+375;30+857;482;-21,72073260;-52,43032997;-21,72266292;-52,43442466
BR-267;Oeste;Meio-Fio;30+467;30+805;338;-21,72093924;;;-52,43398962
BR-267;Leste;Meio-Fio;31+237;31+874;637;-21,72451667;-52,43759561;-21,72753663;-52,44285934
BR-267;Oeste;Meio-Fio;31+397;31+474;7;-21,72520939;-52,43885335;-21,72557321;-52,43949527
BR-267;Oeste;Meio-Fio;31+615;32+015;;-21,72623608;;;-52,44394299
BR-267;Oeste;Meio-Fio;32+038;32+465;427;-21,72823560;;;
BR-267;;DP - CONCRETO;32+350;32+350;;21435786S;;5227683W;
BR-267;Oeste;Meio-Fio;33+866;34+035;169;-21,73687530;-52,45918460;-21,73767778;-52,46057076
BR-267;Oeste;Meio-Fio;34+313;34+899;586;-21,73899834;-52,46285316;-21,74217974;-52,46735995
BR-267;;DP - CONCRETO;34+338;34+338;;21443404S;;5228386W;
BR-267;Oeste;Meio-Fio;34+748;34+949;201;-21,74136214;-52,46619076;;
BR-267;Oeste;Meio-Fio;34+910;35+078;168;-21,74225376;-52,46744813;-21,74328386;-52,46862751
BR-267;Oeste;Meio-Fio;34+971;36+111;;-21,74262494;-52,46787342;-21,74967464;
BR-267;Oeste;Meio-Fio;35+115;35+851;736;-21,74351282;-52,46888886;-21,74807430;-52,474085960
BR-267;Oeste;Meio-Fio;35+862;35+888;26;;;;-21,74829499_-52,47433816
BR-267;Oeste;Meio-Fio;35+898;36+375;523;;;-21,75141511;-52,47762469
BR-267;Oeste;Meio-Fio;36+126;36+294;168;-21,74977148;-52,47602172;;
BR-267;;DP - CONCRETO;36+440;36+440;;21454322S;;52292250W;
BR-267;;DP - CONCRETO;36+480;36+480;;21454409S;;52292342W;
BR-267;Oeste;Meio-Fio;37+264;37+304;;-21,75691079;-52,48388411;;
BR-267;Oeste;Meio-Fio;37+625;37+917;292;-21,75915670;-52,48642719;-21,76095920;-52,488467180
BR-267;;DP - CONCRETO;39+020;39+020;;21461827S;;5230252W;
BR-267;;DP - CONCRETO;39+225;39+225;;21462300S;;5230775W;
BR-267;Oeste;Meio-Fio;39+556;39+780;224;-21,77110549;;;
BR-267;;DP - CONCRETO;41+570;41+570;;21472404S;;52305706W;
BR-267;Oeste;Meio-Fio;42+154;42+320;166;-21,78950975;-52,51552976;-21,79069899;-52,51647733
BR-267;Oeste;Meio-Fio;43+158;43+195;37;-21,79677943;-52,52130827;-21,79704181;-52,52151600
BR-267;;DP - CONCRETO;44+090;44+090;;21482956S;;52314936W;
BR-267;Oeste;Meio-Fio;44+480;44+600;120;-21,80636036;-52,52892023;-21,80723616;-52,52961395
BR-267;Oeste;Meio-Fio;47+272;47+752;520;-21,81574772;-52,55290844;-21,81664440;
BR-267;Oeste;Meio-Fio;47+763;47+963;200;-21,81666188;-52,55755589;-21,81703863;-52,55945893
BR-267;Oeste;Meio-Fio;48+176;48+597;421;-21,81743180;-52,56146582;-21,81821350;
BR-267;;DP - CONCRETO;50+865;50+865;;21492590S;;52353412W;
BR-267;;DP - CONCRETO;50+890;50+890;;21492602S;;52353496W;
BR-267;Oeste;Meio-Fio;51+203;51+451;248;-21,82324869;-52,59005863;-21,82374496;
BR-267;;DP - CONCRETO;51+790;51+790;;21493226S;;5236574W;
BR-267;;DP - CONCRETO;52+000;52+000;;2182539S;;5260014W;
BR-267;Oeste;Meio-Fio;52+177;52+323;146;-21,82518152;-52,59925198;;-52,60062064
BR-267;Oeste;Meio-Fio;52+340;52+414;74;-21,82551150;-52,60080525;-21,82565794;-52,60149727
BR-267;Oeste;Meio-Fio;53+762;53+873;111;-21,82825853;;;-52,61527472
BR-267;Oeste;Meio-Fio;54+040;54+176;136;-21,82879783;-52,61685673;-21,82905471;-52,61812722
BR-267;;DP - CONCRETO;54+500;54+500;;2183000S;;5262459W;
BR-267;Oeste;Meio-Fio;55+919;56+073;154;-21,83240305;-52,63462058;-21,83270138;
BR-267;Leste;Meio-Fio;56+805;57+032;227;-21,83412363;-52,64300466;-21,83456044;-52,64515879
BR-267;Oeste;Meio-Fio;56+825;57+035;210;-21,83413816;;;-52,64517071
BR-267;;DP - CONCRETO;58+105;58+105;;21501612S;;52394055W;
BR-267;Oeste;Meio-Fio;58+584;58+632;;-21,83750404;;-21,83759401;-52,66024820
BR-267;Oeste;Meio-Fio;59+814;60+141;327;-21,83985127;;;-52,67450679
BR-267;;DP - CONCRETO;60+100;60+100;;21502986S;;52404849W;
BR-267;Oeste;Meio-Fio;60+934;61+354;420;-21,84198795;-52,68201913;-21,84278848;
BR-267;Oeste;Meio-Fio;62+285;62+476;191;-21,84456597;-52,69477598;-21,84493488;-52,69658837
BR-267;;DP - CONCRETO;62+860;62+860;;21504935S;;52422251W;
BR-267;Oeste;Meio-Fio;63+316;63+590;274;-21,84654191;-52,70453171;-21,84706493;-52,70711746
BR-267;Oeste;Meio-Fio;63+741;63+960;219;-21,84735280;-52,70853206;-21,84777088;-52,71060348
BR-267;Oeste;Meio-Fio;65+864;66+770;;-21,85139978;-52,72861181;-21,85312884;-52,73717618
BR-267;;DP - CONCRETO;66+540;66+540;;21511418S;;52442770W;
BR-267;Oeste;Meio-Fio;66+791;67+686;;-21,85316994;-52,73737630;-21,85488046;9 -52,74584703
BR-267;Oeste;Meio-Fio;68+793;68+981;88;-21,85697947;-52,75625837;-21,85735064;-52,75806681
BR-267;Oeste;Meio-Fio;68+992;69+047;;-21,85736920;;;-52,75868295
BR-267;;DP - CONCRETO;70+115;70+115;;21513860S;;52462928W;
BR-267;;DP - CONCRETO;70+205;70+205;;21513922S;;52463242W;
BR-267;Oeste;Meio-Fio;70+625;70+812;187;-21,86048121;-52,77362084;-21,86083346;
BR-267;Oeste;Meio-Fio;71+009;71+843;834;-21,86120861;-52,77723482;-21,86280395;-52,78513726
BR-267;Oeste;Meio-Fio;74+255;74+395;140;-21,86739832;-52,80796392;-21,86766367;-52,80927961
BR-267;Oeste;Meio-Fio;75+014;75+036;22;-21,86883893;-52,81515723;-21,86887916;-52,815358650
BR-267;Oeste;Meio-Fio;80+062;80+229;167;-21,87839042;-52,86286424;-21,87870728;-52,86444494
BR-267;;DP - CONCRETO;81+770;81+770;;21523685S;;5253630W;
BR-267;Oeste;Meio-Fio;86+779;86+816;oF;-21,86794758;-52,92633408;-21,86787343;-52,92667260
BR-267;;DP - CONCRETO;87+100;87+100;;21515769S;;5256718W;
BR-267;Leste;Meio-Fio;88+475;88+572;97;-21,86451432;-52,94233260;-21,86431604;-52,94325469
BR-267;Oeste;Meio-Fio;88+504;88+567;;-21,86441837;;;
BR-267;;DP - CONCRETO;88+805;88+805;;21515240S;;52563100W;
BR-267;;DP - CONCRETO;88+895;88+895;;21514452S;;5257799W;
BR-267;Oeste;Meio-Fio;89+772;89+810;38;-21,86182774;-52,95455641;-21,86174850;-52,95493352
BR-267;Leste;Meio-Fio;89+777;89+819;42;-21,86185376;-52,95459015;-21,86176993;-52,95497687
BR-267;Oeste;Meio-Fio;93+796;93+837;41;-21,85640720;-52,99267829;-21,85632105;-52,99305045
BR-267;Oeste;Meio-Fio;94+500;95+153;653;-21,85624321;-52,99937585;-21,85763734;-53,00551716
BR-267;;DP - CONCRETO;94+530;94+530;;21512768S;;53 02001W;
BR-267;;DP - CONCRETO;95+230;95+230;;21512657S;;53 04419W;
BR-267;Oeste;Meio-Fio;95+839;96+076;237;-21,85734170;-53,01212852;_ -21,85711768;-53,01439857
BR-267;;DP - CONCRETO;96+500;96+500;;21512213S;;53 12805W;
BR-267;Oeste;Meio-Fio;97+188;97+221;33;-21,85606412;-53,02509968;-21,85603218;-53,02543209
BR-267;Leste;Meio-Fio;97+202;97+240;38;-21,85607650;-53,02518257;-21,85604339;-53,02551684
BR-267;;DP - CONCRETO;98+103;98+103;;2151498S;;53 21952W;
BR-267;Oeste;Meio-Fio;98+455;98+695;240;-21,85274342;-53,03658682;-21,85151434;-53,03849965
BR-267;Oeste;Meio-Fio;98+855;98+893;38;-21,85069711;-53,03976433;-21,85049829;-53,04007514
BR-267;Oeste;Meio-Fio;99+131;99+315;184;-21,84928070;-53,04197287;-21,84833968;-53,04343575
BR-267;Oeste;Meio-Fio;99+775;99+871;;-21,84601576;-53,04713401;-21,84561768;-53,04795292
BR-267;Oeste;Meio-Fio;99+892;100+507;615;-21,84553443;;;-53,05379087
BR-267;;DP - CONCRETO;100+215;100+215;;21502462S;;53 35767W;
BR-267;Oeste;Meio-Fio;102+841;103+018;177;-21,83739668;-53,07531607;-21,83691642;-53,07694666
BR-267;Oeste;Meio-Fio;105+195;105+477;282;-21,83033026;-53,09679388;-21,82938981;-53,09933941
BR-267;Oeste;Meio-Fio;105+634;105+842;208;-21,82886584;;;-53,10262417
BR-267;;DP - CONCRETO;106+195;106+195;;21492656S;;53 63911W;
BR-267;Oeste;Meio-Fio;106+716;107+041;325;-21,82443878;-53,11007428;;-53,11277663
BR-267;Oeste;Meio-Fio;111+548;111+687;139;-21,80217777;;;
BR-267;;DP - CONCRETO;112+280;112+280;;21474583S;;53 94150W;
BR-267;;DP - CONCRETO;112+753;112+753;;21473804S;;53 95569W;
BR-267;Oeste;Meio-Fio;113+202;113+240;38;-21,79456580;;;-53,16439930
BR-267;;DP - CONCRETO;113+517;113+517;;21472516S;;53101847W;
BR-267;;DP - CONCRETO;113+525;113+525;;21472506S;;53101868W;
BR-267;Leste;Meio-Fio;114+056;114+191;135;-21,79063060;-53,17122263;-21,79000971;-53,17234561
BR-267;Oeste;Meio-Fio;114+057;114+191;134;-21,79062379;-53,17121884;-21,79001308;-53,17231756
BR-267;Oeste;Meio-Fio;114+825;115+193;368;-21,78709363;-53,17760342;-21,78540846;-53,18064825
BR-267;;DP - CONCRETO;120+463;120+463;;21453953S;;53135139W;
BR-267;Oeste;Meio-Fio;121+009;121+150;41;-21,76112793;-53,23042880;-21,76063011;-53,23168246
BR-267;;DP - CONCRETO;122+040;122+040;;21452949S;;53144426W;
BR-267;Oeste;Meio-Fio;122+509;122+702;193;-21,75818032;-53,24432194;-21,75815647;-53,24619274
BR-267;Oeste;Sarjeta;123+997;124+178;181;-21,75783278;-53,25870872;-21,75718445;-53,26031100
BR-267;Oeste;Meio-Fio;124+178;124+409;231;-21,75718445;-53,26031100;-21,75585588;-53,26198334
BR-267;Leste;Meio-Fio;124+246;124+356;110;-21,75690314;-53,26087632;-21,75658770;-53,26173767
BR-267;Oeste;Meio-Fio;124+440;124+963;523;-21,75583889;-53,26227907;-21,75345714;-53,26658267
BR-267;Oeste;Meio-Fio;124+445;124+910;;-21,75583816;-53,26232858;-21,75375901;-53,26618368
BR-267;Oeste;Meio-Fio;124+925;125+139;214;-21,75366681;-53,26629951;-21,75266936;-53,26806185
BR-267;Oeste;Meio-Fio;124+973;129+033;4.060;-21,75340271;-53,26666188;-21,73493790;-53,30055214
BR-267;Oeste;Meio-Fio;125+155;125+372;217;-21,75261524;-53,26820896;-21,75175052;-53,27008487
BR-267;;DP - CONCRETO;125+260;125+260;;21445810S;;53162740W;
BR-267;Oeste;Meio-Fio;129+043;129+203;160;-21,73488505;-53,30062883;-21,73412798;-53,301949240
BR-267;Oeste;Meio-Fio;129+256;129+287;31;-21,73392076;-53,30240674;-21,73378288;-53,30266743
BR-267;Oeste;Meio-Fio;129+298;129+773;475;-21,73373238;-53,30275882;-21,73156455;-53,30670052
BR-267;Oeste;Meio-Fio;129+860;130+271;41;-21,73116150;-53,30743586;-21,72928015;-53,31085803
BR-267;Oeste;Meio-Fio;130+288;130+629;341;-21,72920504;-53,31099514;-21,72763844;-53,31383718
BR-267;Oeste;Meio-Fio;130+656;131+938;1.282;-21,72751211;-53,31406627;-21,7216533;-53,324724190
BR-267;Oeste;Meio-Fio;132+113;133+357;1.244;-21,72084862;-53,32619154;-21,71515586;-53,33654289
BR-267;Oeste;Meio-Fio;133+479;134+532;1.053;-21,71459221;-53,33756544;-21,70976775;-53,34634713
BR-267;Oeste;Meio-Fio;134+559;134+581;22;-21,70964822;-53,34656839;-21,70954708;-53,34675524
BR-267;Oeste;Meio-Fio;134+592;139+772;5.180;-21,70950092;-53,34684002;-21,68587459;-53,39026041
BR-267;Oeste;Meio-Fio;139+800;140+846;1.046;-21,68575046;-53,39049069;-21,68102240;-53,39924780
BR-267;Oeste;Meio-Fio;141+014;141+089;75;-21,68026818;-53,40063593;-21,67992476;-53,40127201
BR-267;Leste;Meio-Fio;141+018;141+089;1;-21,68027494;-53,40062964;-21,67996278;-53,40121050
BR-267;Oeste;Meio-Fio;141+283;143+598;2.315;-21,67904537;-53,40290175;-21,66901984;-53,42249552
BR-267;Oeste;Meio-Fio;143+619;147+159;3.540;-21,66892619;-53,42268043;-21,65324207;-53,45240737
BR-267;Oeste;Meio-Fio;147+181;149+552;2.371;-21,65314628;-53,45258599;-21,64490672;-53,47341507
BR-267;Oeste;Meio-Fio;149+563;151+148;1.585,;-21,64489298;-53,47350524;-21,64260401;-53,48861143
BR-267;Oeste;Meio-Fio;151+187;153+385;2.198;-21,64254988;-53,48897866;-21,63977008;-53,50998108
BR-267;;DP - CONCRETO;152+465;152+465;;21382398S;;53302560W;
BR-267;Oeste;Meio-Fio;153+407;154+903;;-21,63975170;-53,51019040;-21,63836005;-53,52456613
BR-267;Oeste;Meio-Fio;154+932;156+308;1376;-21,63832912;-53,52483343;-21,63674683;-53,53801067
BR-267;Oeste;Meio-Fio;156+330;156+724;;-21,63672320;-53,53821464;-21,63627271;-53,54198558
BR-267;Oeste;Meio-Fio;156+756;157+651;;-21,63623544;-53,54229383;-21,63521259;-53,55086334
BR-267;;DP - CONCRETO;156+780;156+780;;2138373S;;53332898W;
BR-267;Oeste;Meio-Fio;157+795;158+584;7389;-21,63505406;-53,55222832;-21,63415099;-53,55977212
